id,retweet_count,favorite_count,rating_numerator,rating_denominator,name
832032802820481025,4609,17751,12,10,Miguel
831939777352105988,6064,23828,12,10,Emanuel
831911600680497154,6426,27412,14,10,Kuyu
831670449226514432,1796,10370,13,10,Daisy
831552930092285952,2296,8926,13,10,Dutch
831322785565769729,1535,9230,12,10,Pete
831309418084069378,2437,11701,12,10,Scooter
831262627380748289,2020,11842,12,10,Tucker
830956169170665475,1481,7932,12,10,Reggie
830583320585068544,16583,66386,13,10,Lilly
830097400375152640,2909,9742,13,10,Samson
829861396166877184,1918,12179,12,10,Mia
829501995190984704,10490,31573,12,10,Leo
829141528400556032,7256,24275,12,10,Malcolm
829011960981237760,16182,52965,13,10,Dexter
828770345708580865,5805,25476,13,10,Alfie
828708714936930305,11073,36315,10,10,Fiona
828650029636317184,1328,9470,14,10,one
828409743546925057,1157,6323,12,10,Mutt
828408677031882754,1279,7645,12,10,Bear
828381636999917570,2199,12534,14,10,Doobert
828376505180889089,1061,7344,13,10,Beebop
828372645993398273,2907,12527,12,10,Alexander
828046555563323392,2852,11710,13,10,Sailer
828011680017821696,2133,10317,11,10,Brutus
827933404142436356,5202,20004,12,10,Kona
827653905312006145,3002,15443,12,10,Boots
827600520311402496,932,7443,13,10,Tucker
827324948884643840,3010,15793,12,10,Ralphie
827199976799354881,2209,10546,13,10,Charlie
826958653328592898,4951,21504,12,10,Loki
826848821049180160,10072,36216,13,10,Cupid
826598365270007810,2323,10012,13,10,Pawnd
826476773533745153,4156,18346,12,10,Pilot
826115272272650244,3080,15612,13,10,Ike
825876512159186944,1859,10463,11,10,Mo
825829644528148480,2473,12713,12,10,Toby
825147591692263424,4510,18252,13,10,Sweet
825026590719483904,1243,6282,12,10,Pablo
824775126675836928,3489,14865,12,10,Scooter
824663926340194305,1765,10502,13,10,Wilson
824297048279236611,3836,15041,11,10,Nala
823939628516474880,2694,10617,12,10,Cash
823699002998870016,2507,13976,12,10,Winston
823581115634085888,2611,13006,11,10,Crawford
823322678127919110,3999,15714,11,10,Wyatt
822975315408461824,3428,17312,12,10,Albus
822859134160621569,2264,13248,12,10,Hobbes
822489057087389700,6379,18154,13,10,Paisley
822462944365645825,14213,27974,14,10,Gabe
821886076407029760,2293,11315,13,10,Jimison
821765923262631936,1654,8416,13,10,Duchess
821522889702862852,1754,8046,13,10,Harlso
821407182352777218,4328,11768,14,10,Sundance
821149554670182400,1970,8631,12,10,Luca
821044531881721856,2273,12670,12,10,Flash
820749716845686786,9852,31550,13,10,Sunny
819952236453363712,1174,5332,13,10,Oliver
819711362133872643,3100,13391,11,10,Howie
819588359383371776,1984,9669,13,10,Jazzy
819347104292290561,1203,7228,12,10,Anna
819227688460238848,6710,23096,12,10,Finn
819006400881917954,18954,45410,14,10,Sunny
819004803107983360,36842,87079,14,10,Bo
818627210458333184,7533,22456,13,10,Wafer
818614493328580609,2550,9858,12,10,Bear
818536468981415936,2450,10919,11,10,Tom
818259473185828864,2263,11039,12,10,Florence
818145370475810820,2567,12297,11,10,Autumn
817827839487737858,27060,51753,13,10,Buddy
817777686764523521,2683,10782,13,10,Dido
817536400337801217,2961,11801,12,10,Eugene
817423860136083457,14690,33899,13,10,Ken
817415592588222464,943,5614,11,10,Strudel
817171292965273600,2022,8789,13,10,Tebow
817056546584727552,1643,8612,11,10,Chloe
816816676327063552,2038,10035,12,10,Timber
816697700272001025,2184,9804,12,10,Binky
816450570814898180,8063,30502,13,10,Moose
816336735214911488,1945,8629,11,10,Dudley
816091915477250048,2139,8972,12,10,Comet
815990720817401858,1016,4959,11,10,Jack
815736392542261248,2264,9878,11,10,Akumi
815639385530101762,1652,8258,12,10,Titan
814986499976527872,1276,7695,11,10,Cooper
814638523311648768,2698,11313,12,10,Olivia
814530161257443328,1865,8676,12,10,Alf
814153002265309185,8693,28877,12,10,Oshie
813910438903693312,1869,9344,11,10,Chubbs
813812741911748608,14006,36583,14,10,Gary
813800681631023104,1762,8367,12,10,Sky
813217897535406080,7309,18726,13,10,Atlas
813172488309972993,1928,9315,12,10,Eleanor
813157409116065792,2218,7816,12,10,Layla
813112105746448384,2753,10359,12,10,Toby
813096984823349248,3641,10638,11,10,Rocky
813081950185472002,2799,9946,11,10,Baron
813066809284972545,1962,7995,12,10,Tyr
813051746834595840,7388,21111,13,10,Bauer
812781120811126785,1912,7612,10,10,Swagger
812709060537683968,1438,6651,12,10,Brandi
812466873996607488,1943,8009,12,10,Mary
812372279581671427,3670,13723,13,10,Moe
811985624773361665,1405,7309,11,10,Ted
811744202451197953,1601,7585,13,10,Halo
811627233043480576,3094,12845,10,10,Augie
811386762094317568,6417,21043,11,10,Craig
810896069567610880,1780,9062,11,10,Hunter
810657578271330305,2663,11039,11,10,Pavlov
810284430598270976,11328,35457,13,10,Phil
810254108431155201,3394,14788,12,10,Gus
809220051211603969,5629,20051,12,10,Kyro
809084759137812480,3553,13337,11,10,Wallace
808838249661788160,3052,10185,13,10,Ito
808501579447930884,2611,11398,12,10,Koda
808344865868283904,20963,42831,11,10,Seamus
808001312164028416,3558,12626,12,10,Cooper
807621403335917568,3630,14683,14,10,Ollie
807106840509214720,55651,118993,13,10,Stephan
807010152071229440,3885,13181,12,10,Lennon
806542213899489280,2371,10300,11,10,Waffles
806219024703037440,1198,6493,11,10,incredibly
805932879469572096,1934,8341,12,10,Major
805826884734976000,1832,6606,12,10,Duke
805520635690676224,1666,5801,13,10,Zeke
805487436403003392,2541,8865,12,10,Sansa
805207613751304193,1729,7895,12,10,Shooter
804738756058218496,3832,13811,12,10,Django
804026241225523202,16217,44768,13,10,Bo
803773340896923648,2758,10137,12,10,Diogi
803380650405482500,1882,7826,12,10,Sonny
803276597545603072,2472,10115,11,10,Winston
802952499103731712,2012,9085,12,10,Marley
802600418706604034,1480,7165,11,10,Bailey
802572683846291456,2522,9005,12,10,Winnie
802323869084381190,5855,16306,13,10,Severus
802239329049477120,2637,9150,12,10,Loki
801958328846974976,1728,7819,12,10,Ronnie
801538201127157760,2082,8291,12,10,Wallace
801167903437357056,5949,24638,13,10,Milo
801115127852503040,2109,8139,12,10,Bones
800751577355128832,2812,10648,12,10,Mauve
800513324630806528,3009,13224,11,10,Chef
800388270626521089,2829,11225,12,10,Doc
800141422401830912,2559,15395,13,10,Peaches
799757965289017345,2179,8460,13,10,Sobe
799422933579902976,1938,8139,12,10,Longfellow
799297110730567681,2778,9959,11,10,Jeffrey
799063482566066176,2489,8142,11,10,Mister
798933969379225600,4485,13185,12,10,Iroh
798925684722855936,1451,7567,11,10,Shadow
798209839306514432,2578,10506,13,10,Cooper
797545162159308800,4897,14663,12,10,Cassie
797236660651966464,6626,20113,12,10,Pancake
796865951799083009,1935,7745,12,10,Tyr
796759840936919040,3046,11919,11,10,Romeo
796387464403357696,4161,11083,12,10,Snicku
796149749086875649,14363,32470,11,10,Ruby
796080075804475393,2318,8526,12,10,Yogi
796031486298386433,3734,10880,13,10,Daisy
795400264262053889,2884,10138,12,10,Brody
795076730285391872,5467,16316,11,10,Bailey
794926597468000259,2316,10315,12,10,Mack
794332329137291264,2701,9656,12,10,Nimbus
794205286408003585,3335,9292,14,10,Laika
793962221541933056,4906,16959,12,10,Maximus
793845145112371200,1875,9297,13,10,Clark
793601777308463104,1631,8039,12,10,Dobby
793500921481273345,2380,10746,12,10,Fiona
793286476301799424,9216,24769,13,10,Moreton
793271401113350145,2405,8762,12,10,Dave
793241302385262592,3310,10588,13,10,Tucker
793226087023144960,2899,9901,11,10,Juno
793210959003287553,2808,9000,10,10,Maude
793195938047070209,5657,15366,12,10,Lily
793180763617361921,2013,6987,11,10,Newt
793165685325201412,2807,9467,12,10,Benji
793150605191548928,1714,6225,11,10,Nida
793120401413079041,3943,12754,11,10,Robin
792883833364439040,4289,11369,12,10,Bailey
792773781206999040,1687,7409,12,10,Monster
792394556390137856,4314,13537,12,10,BeBe
792050063153438720,1805,7209,11,10,Remus
791406955684368384,4130,13225,12,10,Levi
791312159183634433,2546,8854,12,10,Mabel
790987426131050500,2145,9903,12,10,Misty
790946055508652032,4721,16757,12,10,Betty
790698755171364864,1933,8282,12,10,Mosby
790581949425475584,7174,20792,11,10,Duke
790337589677002753,1890,7877,12,10,Maggie
790277117346975746,3191,12651,11,10,Bruce
789986466051088384,2322,9318,12,10,Happy
789903600034189313,4160,10423,13,10,Ralphy
789628658055020548,1777,7544,13,10,Eli
789599242079838210,1937,6805,12,10,Brownie
789530877013393408,3388,11796,12,10,Rizzy
789268448748703744,2624,9180,10,10,Stella
789137962068021249,2801,9789,12,10,Bo
788908386943430656,12538,27605,11,10,Lucy
788765914992902144,10337,27514,12,10,Butter
788412144018661376,5285,15636,11,10,Dexter
788150585577050112,1294,6160,13,10,Leo
787810552592695296,3068,8660,11,10,Frank
787717603741622272,2784,10326,13,10,Tonks
787397959788929025,2857,10955,11,10,Moose
787322443945877504,1751,7822,10,10,Lincoln
786963064373534720,8010,26785,12,10,Rory
786595970293370880,3133,9505,11,10,Dale
786363235746385920,3514,10952,13,10,Rizzo
786286427768250368,2845,8017,12,10,Arnie
786233965241827333,4747,15334,11,10,Mattie
785927819176054784,3200,11446,12,10,Lucy
785872687017132033,1813,6730,12,10,Rusty
785639753186217984,2250,7892,10,10,Pinot
785533386513321988,2002,9162,11,10,Dallas
785264754247995392,1631,7295,12,10,Doc
785170936622350336,4844,12095,11,10,Hero
784826020293709826,3254,10153,13,10,Rusty
784517518371221505,2541,9008,11,10,Frankie
784431430411685888,1273,5739,12,10,Stormy
